Altura Real (cm),Diâmetro Predito (cm)
0.7484407484407484,0.6652806652806652
0.7484407484407484,0.7068607068607068
0.7484407484407484,0.6652806652806652
0.5405405405405405,0.5405405405405405
0.5405405405405405,0.5405405405405405
0.5405405405405405,0.5405405405405405
0.41580041580041577,0.3742203742203742
0.41580041580041577,0.3742203742203742
0.41580041580041577,0.41580041580041577
0.5405405405405405,0.45738045738045735
0.5405405405405405,0.45738045738045735
0.5405405405405405,0.45738045738045735
0.45738045738045735,0.45738045738045735
0.45738045738045735,0.45738045738045735
0.45738045738045735,0.45738045738045735
0.3326403326403326,0.3326403326403326
0.3326403326403326,0.3326403326403326
0.3326403326403326,0.3326403326403326
0.3326403326403326,0.3326403326403326
0.3326403326403326,0.3326403326403326
0.3326403326403326,0.3326403326403326
0.5405405405405405,0.4989604989604989
0.5405405405405405,0.582120582120582
0.5405405405405405,0.4989604989604989
0.45738045738045735,0.6237006237006236
0.45738045738045735,0.5405405405405405
0.45738045738045735,0.6237006237006236
0.4989604989604989,0.45738045738045735
0.4989604989604989,0.45738045738045735
0.4989604989604989,0.3742203742203742
0.6652806652806652,0.5405405405405405
0.6652806652806652,0.5405405405405405
0.6652806652806652,0.5405405405405405
0.4989604989604989,0.3742203742203742
0.4989604989604989,0.3742203742203742
0.4989604989604989,0.3326403326403326
0.3742203742203742,0.41580041580041577
0.3742203742203742,0.41580041580041577
0.3742203742203742,0.3742203742203742
0.291060291060291,0.3742203742203742
0.291060291060291,0.3742203742203742
0.291060291060291,0.3742203742203742
0.582120582120582,0.4989604989604989
0.582120582120582,0.582120582120582
0.582120582120582,0.4989604989604989
0.45738045738045735,0.3742203742203742
0.45738045738045735,0.3742203742203742
0.45738045738045735,0.3742203742203742
0.45738045738045735,0.3742203742203742
0.45738045738045735,0.3742203742203742
0.45738045738045735,0.3742203742203742
0.6237006237006236,0.6237006237006236
0.6237006237006236,0.6237006237006236
0.6237006237006236,0.6237006237006236
0.5405405405405405,0.5405405405405405
0.5405405405405405,0.6237006237006236
0.5405405405405405,0.6237006237006236
0.5405405405405405,0.6652806652806652
0.5405405405405405,0.6652806652806652
0.5405405405405405,0.6652806652806652
0.41580041580041577,0.45738045738045735
0.41580041580041577,0.45738045738045735
0.41580041580041577,0.45738045738045735
0.3742203742203742,0.3742203742203742
0.3742203742203742,0.3326403326403326
0.3742203742203742,0.3326403326403326
0.45738045738045735,0.45738045738045735
0.45738045738045735,0.3742203742203742
0.45738045738045735,0.45738045738045735
0.3742203742203742,0.6237006237006236
0.3742203742203742,0.6237006237006236
0.3742203742203742,0.6237006237006236
0.6652806652806652,0.7484407484407484
0.6652806652806652,0.7484407484407484
0.6652806652806652,0.7484407484407484
0.45738045738045735,0.5405405405405405
0.45738045738045735,0.5405405405405405
0.45738045738045735,0.5405405405405405
0.24948024948024944,0.45738045738045735
0.24948024948024944,0.45738045738045735
0.24948024948024944,0.41580041580041577
0.4989604989604989,0.582120582120582
0.4989604989604989,0.582120582120582
0.4989604989604989,0.582120582120582
